"NumSameAfterNotCensored","UpDown","SameDiff","Down","rural","foreign","han","gender"
1,0,1,TRUE,0,0,1,1
0,1,0,FALSE,0,1,1,1
0,1,0,FALSE,1,1,1,0
0,1,NA,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
2,1,1,FALSE,0,0,0,1
0,0,NA,TRUE,0,0,1,1
0,1,0,FALSE,0,1,1,0
0,1,0,FALSE,0,0,1,0
0,1,0,FALSE,0,0,0,0
0,1,NA,FALSE,0,1,1,0
0,1,NA,FALSE,0,1,1,0
0,1,0,FALSE,0,0,1,1
1,1,1,FALSE,0,1,1,1
0,1,0,FALSE,0,0,1,1
2,1,1,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
3,1,0,FALSE,0,0,1,1
0,1,NA,FALSE,0,0,1,0
0,0,0,TRUE,0,1,1,1
0,1,0,FALSE,0,1,1,0
1,1,1,FALSE,0,1,0,0
0,1,NA,FALSE,0,0,1,0
1,1,0,FALSE,0,1,1,1
2,1,0,FALSE,0,0,1,0
0,1,0,FALSE,0,0,1,1
3,1,1,FALSE,0,0,0,0
0,1,0,FALSE,0,0,1,1
1,1,1,FALSE,0,0,1,1
1,1,0,FALSE,0,0,1,1
0,1,NA,FALSE,0,0,1,0
0,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
0,0,NA,TRUE,0,1,1,1
0,0,NA,TRUE,0,1,1,0
0,1,0,FALSE,0,1,1,0
0,1,NA,FALSE,0,0,1,0
1,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
1,1,0,FALSE,0,0,1,0
0,0,0,TRUE,0,0,1,1
0,1,0,FALSE,1,0,1,0
3,1,1,FALSE,0,1,1,1
0,1,0,FALSE,0,0,1,1
2,1,0,FALSE,0,1,1,0
0,1,0,FALSE,0,0,1,1
1,1,1,FALSE,0,0,1,1
2,1,0,FALSE,0,0,1,1
2,1,0,FALSE,0,0,1,0
1,1,0,FALSE,0,0,1,0
2,1,1,FALSE,0,0,0,1
1,1,0,FALSE,0,0,1,1
1,1,1,FALSE,0,0,1,0
0,1,NA,FALSE,0,0,1,1
1,0,1,TRUE,0,0,1,0
3,1,0,FALSE,0,1,1,1
1,1,0,FALSE,0,1,1,0
0,1,0,FALSE,0,0,1,0
3,0,1,TRUE,0,0,1,1
4,1,1,FALSE,0,0,1,1
2,1,1,FALSE,0,0,1,1
3,1,1,FALSE,0,0,1,1
2,1,1,FALSE,0,0,1,0
2,1,1,FALSE,0,0,1,1
0,1,0,FALSE,1,0,1,0
0,1,0,FALSE,0,0,1,0
0,1,0,FALSE,0,0,1,0
1,1,0,FALSE,0,1,1,0
0,1,0,FALSE,0,0,1,0
6,0,1,TRUE,0,0,1,0
1,1,0,FALSE,0,1,1,0
2,1,0,FALSE,0,0,1,0
1,1,0,FALSE,0,1,1,0
0,1,NA,FALSE,0,1,1,1
0,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
3,1,1,FALSE,0,0,1,1
0,1,NA,FALSE,0,1,1,0
1,1,0,FALSE,0,1,0,0
3,1,1,FALSE,0,0,1,0
1,1,1,FALSE,0,0,0,0
0,1,0,FALSE,0,0,1,0
3,1,1,FALSE,1,1,1,0
0,1,0,FALSE,0,0,1,0
2,1,1,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,0
0,1,0,FALSE,1,0,1,0
2,1,1,FALSE,0,0,1,0
1,0,1,TRUE,0,0,1,0
0,1,0,FALSE,0,0,1,0
0,1,0,FALSE,0,0,1,0
1,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,1,1,0
0,0,0,TRUE,1,0,1,0
0,1,0,FALSE,1,0,1,1
4,1,1,FALSE,0,1,1,1
2,0,1,TRUE,0,0,1,1
1,0,1,TRUE,0,0,1,0
2,1,1,FALSE,0,0,1,1
0,1,NA,FALSE,0,0,1,1
1,1,0,FALSE,0,0,1,1
0,0,0,TRUE,0,0,0,0
3,1,1,FALSE,0,0,1,0
1,1,0,FALSE,0,0,1,0
1,1,0,FALSE,0,1,1,1
0,1,0,FALSE,0,0,1,1
3,0,1,TRUE,0,0,1,1
0,1,0,FALSE,0,0,1,1
1,1,0,FALSE,0,0,1,0
1,0,0,TRUE,0,0,1,0
2,0,1,TRUE,0,0,1,0
2,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
0,1,0,FALSE,0,0,1,1
3,0,1,TRUE,0,1,0,0
3,1,1,FALSE,1,0,1,1
0,1,0,FALSE,0,0,1,1
1,0,1,TRUE,0,0,1,1
0,1,0,FALSE,0,0,1,1
2,1,1,FALSE,0,0,0,1
2,0,0,TRUE,0,1,1,1
1,0,1,TRUE,0,0,1,1
0,1,NA,FALSE,0,1,1,1
1,1,0,FALSE,0,0,1,1
4,1,0,FALSE,0,0,1,1
0,0,0,TRUE,0,1,1,1
0,1,0,FALSE,0,0,1,0
1,1,1,FALSE,0,0,1,1
0,0,0,TRUE,1,0,1,1
2,1,0,FALSE,0,0,1,1
1,1,1,FALSE,0,0,1,1
7,0,1,TRUE,0,0,1,1
1,1,1,FALSE,0,0,1,1
1,1,0,FALSE,0,0,0,1
1,1,0,FALSE,0,0,1,0
