"","date","numusers"
"1",2014-09-20,2003
"2",2014-09-21,2157
"3",2014-09-22,1612
"4",2014-09-23,1632
"5",2014-09-24,1556
"6",2014-09-25,1525
"7",2014-09-26,1842
"8",2014-09-27,2266
"9",2014-09-28,1954
"10",2014-09-29,1563
"11",2014-09-30,1605
"12",2014-10-01,1975
"13",2014-10-02,2033
"14",2014-10-03,1643
"15",2014-10-04,1987
"16",2014-10-05,2044
"17",2014-10-06,1566
"18",2014-10-08,1622
"19",2014-10-09,1563
"20",2014-10-10,1795
"21",2014-10-11,2231
"22",2014-10-12,2184
"23",2014-10-13,1703
"24",2014-10-14,1554
"25",2014-10-15,1530
"26",2014-10-16,1613
"27",2014-10-17,1905
"28",2014-10-18,2205
"29",2014-10-19,2289
"30",2014-10-20,1630
"31",2014-10-21,1619
"32",2014-10-22,1551
"33",2014-10-23,1632
"34",2014-10-24,1868
"35",2014-10-25,2055
"36",2014-10-26,2127
"37",2014-10-27,1668
"38",2014-10-28,1589
"39",2014-10-29,1578
"40",2014-10-30,1725
