768.292682926829, 2014/9/26
731.7073170731705, 2014/9/27
731.7073170731705, 2014/9/28
243.90243902438988, 2014/9/29
243.90243902438988, 2014/9/30
341.4634146341464, 2014/10/2
365.85365853658504, 2014/10/3
402.43902439024396, 2014/10/4
402.43902439024396, 2014/10/5
487.80487804878067, 2014/10/7
524.3902439024387, 2014/10/8
573.1707317073174, 2014/10/9
634.1463414634145, 2014/10/10
585.3658536585363, 2014/10/11
597.560975609756, 2014/10/12
646.3414634146338, 2014/10/14
731.7073170731705, 2014/10/15
707.3170731707314, 2014/10/16
768.292682926829, 2014/10/17
768.292682926829, 2014/10/18
768.292682926829, 2014/10/18
280.4878048780488, 2014/10/1
439.0243902439024, 2014/10/6
634.1463414634145, 2014/10/13
719.5121951219512, 2014/9/25
634.1463414634145, 2014/9/25
463.41463414634154, 2014/9/23
487.80487804878067, 2014/9/22
646.3414634146338, 2014/9/21
621.9512195121947, 2014/9/20
621.9512195121947, 2014/9/19
682.9268292682932, 2014/9/18
670.731707317073, 2014/9/17
707.3170731707314, 2014/9/16
670.731707317073, 2014/9/15
